team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
9,10,Wed Dec 20 2023,11:00a,REG,N,Arkansas,SEC,14.38,L,59,60,,5,5,L 3,
9,11,Thu Dec 21 2023,1:15p,REG,N,UTEP,CUSA,-4.78,W,81,71,,6,5,W 1,
9,12,Sun Dec 31 2023,12:30p,REG,@,Indiana (16),Big Ten,30.25,L,71,77,,6,6,L 1,Simon Skjodt Assembly Hall
9,13,Sun Jan 7 2024,3:00p,REG,,Wisconsin,Big Ten,7.62,L,61,67,,6,7,L 2,State Farm Center
9,14,Thu Jan 11 2024,8:00p,REG,@,Nebraska,Big Ten,22.52,L,48,56,,6,8,L 3,Pinnacle Bank Arena
9,15,Sun Jan 14 2024,3:00p,REG,@,Northwestern,Big Ten,-0.22,W,93,52,,7,8,W 1,Welsh-Ryan Arena
9,16,Wed Jan 17 2024,7:00p,REG,,Rutgers,Big Ten,3.79,W,96,68,,8,8,W 2,State Farm Center
9,17,Sat Jan 20 2024,1:00p,REG,@,Maryland,Big Ten,22.6,L,82,90,,8,9,L 1,Xfinity Center
9,18,Thu Jan 25 2024,7:00p,REG,,Ohio State (12),Big Ten,34.28,L,59,67,,8,10,L 2,State Farm Center
9,19,Sun Jan 28 2024,3:00p,REG,,Minnesota,Big Ten,16.38,W,73,68,,9,10,W 1,State Farm Center
9,20,Wed Jan 31 2024,7:00p,REG,@,Michigan,Big Ten,18.99,W,77,64,,10,10,W 2,Crisler Center
9,21,Mon Feb 5 2024,8:00p,REG,@,Purdue,Big Ten,14.46,L,72,77,OT,10,11,L 1,Mackey Arena
9,22,Thu Feb 8 2024,7:00p,REG,,Northwestern,Big Ten,-0.22,W,82,71,,11,11,W 1,State Farm Center
9,23,Sun Feb 11 2024,3:00p,REG,,Maryland,Big Ten,22.6,L,53,69,,11,12,L 1,State Farm Center
9,24,Thu Feb 15 2024,6:00p,REG,@,Penn State,Big Ten,25.4,W,86,71,,12,12,W 1,Bryce Jordan Center
9,25,Mon Feb 19 2024,2:00p,REG,,Indiana (14),Big Ten,30.25,W,86,66,,13,12,W 2,State Farm Center
9,26,Sun Feb 25 2024,1:00p,REG,@,Iowa (4),Big Ten,37.03,L,85,101,,13,13,L 1,Carver-Hawkeye Arena
9,27,Thu Feb 29 2024,8:00p,REG,@,Michigan State,Big Ten,28.21,L,70,87,,13,14,L 2,Breslin Student Events Center
9,28,Sun Mar 3 2024,4:00p,REG,,Nebraska,Big Ten,22.52,W,74,73,,14,14,W 1,State Farm Center
9,29,Thu Mar 7 2024,12:30p,REG,N,Maryland,Big Ten,22.6,,,,,,,,Target Center
10,1,Tue Nov 7 2023,7:30p,REG,,Milwaukee,Horizon,-4.31,W,62,51,,1,0,W 1,
10,2,Thu Nov 9 2023,8:00p,REG,,Western Illinois,OVC,-8.58,W,74,52,,2,0,W 2,
10,3,Tue Nov 14 2023,7:30p,REG,,South Dakota State,Summit,14.26,W,66,64,,3,0,W 3,
10,4,Sun Nov 19 2023,5:00p,REG,@,Kansas State,Big 12,29.22,L,57,75,,3,1,L 1,Bramlage Coliseum
